Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25980000,-25.43,20.56,1650.0,0.00,-656.4,1775.8,0.0
25980096,-25.40,20.56,1642.6,0.00,-653.5,1767.8,0.0
25980192,-25.37,20.50,1637.8,0.00,-649.9,1762.1,0.0
25980288,-25.35,20.36,1635.1,0.00,-643.9,1757.3,0.0
25980384,-25.29,20.55,1622.7,0.00,-645.7,1746.4,0.0
25980480,-25.28,20.26,1622.1,0.00,-635.8,1742.2,0.0
25980576,-25.26,20.24,1619.0,0.00,-633.8,1738.7,0.0
25980672,-25.20,20.29,1606.6,0.00,-631.1,1726.1,0.0
25980768,-25.17,20.25,1601.1,0.00,-627.7,1719.8,0.0
25980864,-25.18,20.33,1602.3,0.00,-630.6,1721.9,0.0
25980960,-25.14,20.40,1593.2,0.00,-629.7,1713.1,0.0
25981056,-25.11,20.25,1589.8,0.00,-623.5,1707.7,0.0
25981152,-25.08,20.20,1584.9,0.00,-620.0,1701.9,0.0
25981248,-25.04,20.39,1574.3,0.00,-622.2,1692.8,0.0
25981344,-24.99,19.94,1569.8,0.00,-605.8,1682.6,0.0
25981440,-24.96,20.06,1563.4,0.00,-607.3,1677.2,0.0
25981536,-24.95,20.16,1559.0,0.00,-609.0,1673.8,0.0
25981632,-24.93,20.38,1553.5,0.00,-614.4,1670.6,0.0
25981728,-24.87,20.14,1545.1,0.00,-603.3,1658.7,0.0
25981824,-24.84,20.08,1540.2,0.00,-599.5,1652.8,0.0
25981920,-24.81,20.15,1532.5,0.00,-599.0,1645.4,0.0
25982016,-24.81,20.27,1531.2,0.00,-602.3,1645.4,0.0
25982112,-24.77,20.13,1526.2,0.00,-596.1,1638.5,0.0
25982208,-24.72,20.37,1514.6,0.00,-599.4,1628.9,0.0
25982304,-24.71,20.24,1513.5,0.00,-594.8,1626.1,0.0
25982400,-24.64,20.30,1500.3,0.00,-591.9,1612.8,0.0
25982496,-24.63,19.99,1502.2,0.00,-582.8,1611.3,0.0
25982592,-24.56,20.25,1486.3,0.00,-585.3,1597.4,0.0
25982688,-24.55,20.12,1484.9,0.00,-580.7,1594.4,0.0
25982784,-24.53,20.02,1482.2,0.00,-576.5,1590.3,0.0
25982880,-24.49,20.07,1474.1,0.00,-575.3,1582.4,0.0
25982976,-24.42,19.93,1462.9,0.00,-566.8,1568.8,0.0
25983072,-24.39,20.16,1457.0,0.00,-571.6,1565.1,0.0
25983168,-24.36,20.00,1452.4,0.00,-565.2,1558.5,0.0
25983264,-24.33,19.99,1447.8,0.00,-563.2,1553.5,0.0
25983360,-24.32,20.35,1441.1,0.00,-571.8,1550.4,0.0
25983456,-24.25,20.06,1432.7,0.00,-559.5,1538.1,0.0
25983552,-24.19,20.15,1420.2,0.00,-557.8,1525.8,0.0
25983648,-24.18,20.04,1420.8,0.00,-554.7,1525.3,0.0
25983744,-24.16,20.02,1416.0,0.00,-552.3,1519.9,0.0
25983840,-24.09,20.08,1404.7,0.00,-549.9,1508.5,0.0
25983936,-24.02,19.97,1393.7,0.00,-542.9,1495.7,0.0
25984032,-24.04,19.72,1398.1,0.00,-537.1,1497.7,0.0
25984128,-23.96,20.12,1381.4,0.00,-542.6,1484.1,0.0
25984224,-23.95,19.96,1380.9,0.00,-537.7,1481.9,0.0
25984320,-23.87,20.10,1366.7,0.00,-536.8,1468.4,0.0
25984416,-23.86,19.83,1367.7,0.00,-529.3,1466.5,0.0
25984512,-23.80,19.82,1357.9,0.00,-525.4,1456.0,0.0
25984608,-23.79,19.73,1356.7,0.00,-522.3,1453.8,0.0
25984704,-23.71,19.77,1342.2,0.00,-518.4,1438.8,0.0
25984800,-23.65,19.77,1333.4,0.00,-515.1,1429.5,0.0
25984896,-23.64,19.64,1332.3,0.00,-511.3,1427.1,0.0
25984992,-23.62,19.70,1327.9,0.00,-511.3,1422.9,0.0
25985088,-23.52,19.53,1313.4,0.00,-501.4,1405.8,0.0
25985184,-23.52,19.71,1312.0,0.00,-505.8,1406.2,0.0
25985280,-23.46,19.66,1301.8,0.00,-500.8,1394.8,0.0
25985376,-23.40,19.65,1292.9,0.00,-497.3,1385.2,0.0
25985472,-23.39,19.46,1293.5,0.00,-492.3,1384.0,0.0
25985568,-23.34,19.43,1285.0,0.00,-488.7,1374.8,0.0
25985664,-23.28,19.40,1276.0,0.00,-484.6,1365.0,0.0
25985760,-23.23,19.48,1267.6,0.00,-483.8,1356.8,0.0
25985856,-23.16,19.45,1256.9,0.00,-479.1,1345.1,0.0
25985952,-23.14,19.29,1254.6,0.00,-474.1,1341.2,0.0
25986048,-23.08,19.43,1244.2,0.00,-474.1,1331.5,0.0
25986144,-23.02,19.50,1234.8,0.00,-472.6,1322.2,0.0
25986240,-22.99,19.12,1232.7,0.00,-462.0,1316.4,0.0
25986336,-22.95,19.13,1226.9,0.00,-460.4,1310.5,0.0
25986432,-22.90,19.30,1217.2,0.00,-461.3,1301.7,0.0
25986528,-22.84,19.35,1207.7,0.00,-459.2,1292.1,0.0
25986624,-22.80,19.03,1204.3,0.00,-449.8,1285.6,0.0
25986720,-22.74,19.20,1195.1,0.00,-451.0,1277.4,0.0
25986816,-22.70,18.96,1190.2,0.00,-443.3,1270.1,0.0
25986912,-22.61,19.17,1175.8,0.00,-443.5,1256.7,0.0
25987008,-22.58,18.98,1172.6,0.00,-437.7,1251.6,0.0
25987104,-22.51,19.07,1162.1,0.00,-436.2,1241.3,0.0
25987200,-22.49,18.95,1159.1,0.00,-432.3,1237.1,0.0
25987296,-22.43,18.86,1151.2,0.00,-427.4,1228.0,0.0
25987392,-22.36,18.82,1141.8,0.00,-423.3,1217.8,0.0
25987488,-22.31,19.02,1133.9,0.00,-425.4,1211.1,0.0
25987584,-22.26,19.01,1125.9,0.00,-422.4,1202.6,0.0
25987680,-22.22,18.77,1122.3,0.00,-415.4,1196.8,0.0
25987776,-22.18,18.80,1116.5,0.00,-414.2,1190.8,0.0
25987872,-22.08,18.69,1103.4,0.00,-407.2,1176.2,0.0
25987968,-22.05,18.72,1099.3,0.00,-406.4,1172.0,0.0
25988064,-21.95,18.71,1085.8,0.00,-401.5,1157.6,0.0
25988160,-21.94,18.66,1084.3,0.00,-400.0,1155.7,0.0
25988256,-21.86,18.64,1073.6,0.00,-395.8,1144.3,0.0
25988352,-21.79,18.63,1064.8,0.00,-392.7,1134.9,0.0
25988448,-21.73,18.53,1056.8,0.00,-387.8,1125.7,0.0
25988544,-21.65,18.33,1047.2,0.00,-380.1,1114.0,0.0
25988640,-21.63,18.39,1044.9,0.00,-380.6,1112.1,0.0
25988736,-21.58,18.40,1038.8,0.00,-378.9,1105.7,0.0
25988832,-21.54,18.16,1035.0,0.00,-372.4,1100.0,0.0
25988928,-21.44,18.19,1021.6,0.00,-368.4,1086.0,0.0
25989024,-21.35,18.37,1008.8,0.00,-368.2,1073.9,0.0
25989120,-21.31,18.25,1004.8,0.00,-364.2,1068.8,0.0
25989216,-21.26,18.08,999.6,0.00,-359.0,1062.1,0.0
25989312,-21.17,18.18,986.5,0.00,-356.9,1049.0,0.0
25989408,-21.11,17.93,981.1,0.00,-349.7,1041.5,0.0
25989504,-21.07,17.89,975.9,0.00,-347.2,1035.8,0.0
25989600,-20.98,17.81,966.0,0.00,-342.4,1024.9,0.0
25989696,-20.91,17.82,957.7,0.00,-340.0,1016.2,0.0
25989792,-20.87,17.81,951.9,0.00,-337.9,1010.1,0.0
25989888,-20.77,17.82,940.3,0.00,-334.3,997.9,0.0
25989984,-20.68,17.82,930.0,0.00,-331.2,987.2,0.0
25990080,-20.63,17.80,924.3,0.00,-328.9,981.0,0.0
25990176,-20.54,17.71,914.1,0.00,-323.8,969.7,0.0
25990272,-20.49,17.48,909.2,0.00,-317.7,963.1,0.0
25990368,-20.41,17.53,899.8,0.00,-315.7,953.6,0.0
25990464,-20.33,17.37,891.3,0.00,-310.1,943.7,0.0
25990560,-20.25,17.33,883.0,0.00,-306.7,934.8,0.0
25990656,-20.19,17.30,875.9,0.00,-303.9,927.1,0.0
25990752,-20.13,17.27,869.0,0.00,-301.2,919.7,0.0
25990848,-20.01,17.26,856.4,0.00,-297.1,906.5,0.0
25990944,-19.92,17.16,847.2,0.00,-292.5,896.3,0.0
25991040,-19.87,16.95,842.8,0.00,-287.3,890.4,0.0
25991136,-19.76,16.94,831.0,0.00,-283.6,878.0,0.0
25991232,-19.69,16.88,823.9,0.00,-280.3,870.2,0.0
25991328,-19.62,16.78,816.5,0.00,-276.3,862.0,0.0
25991424,-19.51,16.84,804.1,0.00,-273.7,849.4,0.0
25991520,-19.43,16.66,797.3,0.00,-268.6,841.3,0.0
25991616,-19.33,16.49,787.3,0.00,-262.7,830.0,0.0
25991712,-19.28,16.39,782.6,0.00,-259.6,824.6,0.0
25991808,-19.18,16.45,772.4,0.00,-257.6,814.2,0.0
25991904,-19.09,16.43,763.6,0.00,-254.6,805.0,0.0
25992000,-19.00,16.21,755.4,0.00,-248.6,795.3,0.0
25992096,-18.87,16.08,743.8,0.00,-243.3,782.6,0.0
25992192,-18.80,15.96,737.6,0.00,-239.5,775.5,0.0
25992288,-18.69,15.89,727.2,0.00,-235.5,764.4,0.0
25992384,-18.58,15.72,717.5,0.00,-230.1,753.5,0.0
25992480,-18.52,15.87,710.8,0.00,-230.5,747.2,0.0
25992576,-18.40,15.65,700.6,0.00,-224.3,735.6,0.0
25992672,-18.31,15.44,693.8,0.00,-219.3,727.6,0.0
25992768,-18.18,15.51,681.1,0.00,-216.8,714.8,0.0
25992864,-18.08,15.52,672.3,0.00,-214.4,705.6,0.0
25992960,-18.00,15.27,665.9,0.00,-209.0,697.9,0.0
25993056,-17.87,15.22,655.2,0.00,-205.5,686.7,0.0
25993152,-17.76,14.98,646.8,0.00,-199.8,676.9,0.0
25993248,-17.64,14.98,636.5,0.00,-197.1,666.3,0.0
25993344,-17.53,14.83,627.4,0.00,-192.6,656.3,0.0
25993440,-17.40,14.72,617.1,0.00,-188.5,645.2,0.0
25993536,-17.30,14.50,609.5,0.00,-183.5,636.5,0.0
25993632,-17.18,14.46,600.2,0.00,-180.6,626.8,0.0
25993728,-17.07,14.28,591.7,0.00,-176.0,617.3,0.0
25993824,-16.93,14.09,581.4,0.00,-171.0,606.0,0.0
25993920,-16.81,13.94,571.9,0.00,-166.8,595.8,0.0
25994016,-16.66,13.74,560.9,0.00,-161.6,583.7,0.0
25994112,-16.54,13.52,552.7,0.00,-156.9,574.5,0.0
25994208,-16.43,13.36,544.9,0.00,-153.2,566.0,0.0
25994304,-16.27,13.14,533.7,0.00,-147.9,553.8,0.0
25994400,-16.12,12.94,523.5,0.00,-143.3,542.7,0.0
25994496,-16.02,12.75,516.5,0.00,-139.5,535.0,0.0
25994592,-15.85,12.53,505.2,0.00,-134.5,522.8,0.0
25994688,-15.71,12.33,495.9,0.00,-130.3,512.7,0.0
25994784,-15.53,12.08,484.2,0.00,-125.1,500.1,0.0
25994880,-15.37,11.92,474.4,0.00,-121.2,489.6,0.0
25994976,-15.23,11.62,465.6,0.00,-116.3,479.9,0.0
25995072,-15.06,11.36,455.2,0.00,-111.5,468.6,0.0
25995168,-14.90,11.18,445.5,0.00,-107.8,458.4,0.0
25995264,-14.74,10.90,436.1,0.00,-103.2,448.1,0.0
25995360,-14.55,10.68,424.9,0.00,-99.0,436.3,0.0
