Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25994500,-14.53,11.13,422.5,0.00,-102.8,434.9,0.0
25994510,-14.52,11.11,422.1,0.00,-102.5,434.3,0.0
25994520,-14.51,11.11,421.6,0.00,-102.4,433.8,0.0
25994530,-14.48,11.00,419.9,0.00,-101.1,431.9,0.0
25994540,-14.47,11.00,419.1,0.00,-100.9,431.0,0.0
25994550,-14.44,10.94,417.8,0.00,-100.1,429.6,0.0
25994560,-14.42,10.97,416.3,0.00,-100.0,428.1,0.0
25994570,-14.41,10.93,415.8,0.00,-99.6,427.5,0.0
25994580,-14.36,10.94,413.0,0.00,-99.1,424.8,0.0
25994590,-14.36,10.88,413.0,0.00,-98.6,424.6,0.0
25994600,-14.34,10.86,411.7,0.00,-98.2,423.3,0.0
25994610,-14.31,10.75,410.1,0.00,-96.9,421.4,0.0
25994620,-14.30,10.65,410.1,0.00,-95.9,421.1,0.0
25994630,-14.27,10.73,407.9,0.00,-96.2,419.1,0.0
25994640,-14.26,10.72,407.5,0.00,-96.1,418.7,0.0
25994650,-14.24,10.68,406.0,0.00,-95.4,417.1,0.0
25994660,-14.23,10.65,405.7,0.00,-95.1,416.6,0.0
25994670,-14.18,10.63,403.0,0.00,-94.5,413.9,0.0
25994680,-14.18,10.67,402.6,0.00,-94.7,413.6,0.0
25994690,-14.15,10.60,401.1,0.00,-93.8,411.9,0.0
25994700,-14.12,10.56,399.8,0.00,-93.1,410.5,0.0
25994710,-14.12,10.54,399.5,0.00,-92.9,410.1,0.0
25994720,-14.08,10.48,397.4,0.00,-92.1,407.9,0.0
25994730,-14.09,10.48,397.7,0.00,-92.0,408.2,0.0
25994740,-14.05,10.45,395.6,0.00,-91.4,406.0,0.0
25994750,-14.01,10.42,393.6,0.00,-90.8,403.9,0.0
25994760,-14.01,10.37,393.6,0.00,-90.4,403.9,0.0
25994770,-13.99,10.28,392.7,0.00,-89.3,402.7,0.0
25994780,-13.96,10.23,391.0,0.00,-88.6,400.9,0.0
25994790,-13.94,10.33,389.7,0.00,-89.2,399.8,0.0
25994800,-13.90,10.31,387.7,0.00,-88.7,397.7,0.0
25994810,-13.90,10.19,387.5,0.00,-87.6,397.2,0.0
25994820,-13.87,10.16,386.2,0.00,-87.2,395.9,0.0
25994830,-13.87,10.13,385.8,0.00,-86.8,395.4,0.0
25994840,-13.84,10.12,384.7,0.00,-86.5,394.3,0.0
25994850,-13.81,10.11,382.8,0.00,-86.1,392.4,0.0
25994860,-13.80,10.09,382.0,0.00,-85.8,391.5,0.0
25994870,-13.77,10.02,380.6,0.00,-84.9,389.9,0.0
25994880,-13.76,10.00,380.1,0.00,-84.6,389.4,0.0
25994890,-13.72,9.93,378.2,0.00,-83.7,387.3,0.0
25994900,-13.70,9.97,377.0,0.00,-83.8,386.2,0.0
25994910,-13.68,9.83,376.2,0.00,-82.5,385.2,0.0
25994920,-13.66,9.88,374.5,0.00,-82.7,383.6,0.0
25994930,-13.64,9.73,374.2,0.00,-81.3,382.9,0.0
25994940,-13.62,9.80,372.6,0.00,-81.7,381.4,0.0
25994950,-13.60,9.76,371.5,0.00,-81.1,380.3,0.0
25994960,-13.59,9.65,371.4,0.00,-80.1,379.9,0.0
25994970,-13.55,9.63,369.2,0.00,-79.6,377.7,0.0
25994980,-13.52,9.57,367.9,0.00,-78.9,376.2,0.0
25994990,-13.52,9.49,367.7,0.00,-78.2,375.9,0.0
25995000,-13.48,9.44,365.6,0.00,-77.4,373.7,0.0
25995010,-13.45,9.48,363.8,0.00,-77.5,371.9,0.0
25995020,-13.42,9.42,362.7,0.00,-76.8,370.7,0.0
25995030,-13.40,9.33,361.6,0.00,-75.9,369.5,0.0
25995040,-13.40,9.42,361.3,0.00,-76.5,369.3,0.0
25995050,-13.36,9.32,359.6,0.00,-75.5,367.5,0.0
25995060,-13.34,9.32,358.6,0.00,-75.2,366.4,0.0
25995070,-13.32,9.21,357.4,0.00,-74.2,365.0,0.0
25995080,-13.29,9.30,356.0,0.00,-74.7,363.8,0.0
25995090,-13.27,9.25,354.5,0.00,-74.0,362.2,0.0
25995100,-13.24,9.22,353.5,0.00,-73.6,361.1,0.0
25995110,-13.22,9.11,352.6,0.00,-72.6,360.0,0.0
25995120,-13.19,9.02,351.1,0.00,-71.6,358.4,0.0
